city,population,density (per sq. km)
Idaho Falls,100442,1011
Holland,100432,768
Charlottesville,100416,1781
Longview,100330,565
Tracy,100049,1412
Boca Raton,99805,1320
Lafayette,99645,1257
Lee's Summit,99357,601
Rio Rancho,99178,370
South Fulton,99155,451
Beaverton,99037,1952
Lawrence,98648,1110
Bismarck,98345,827
Orem,97828,2044
Middletown,97730,720
San Tan Valley,96692,1018
San Marcos,96664,1532
Sandy,96380,1544
Federal Way,96289,1667
Mandeville,95968,676
Hesperia,95750,508
Brockton,95708,1732
Compton,95605,3680
Riverview,95338,796
Fishers,95310,1037
Sunrise,95166,2270
Bowling Green,95135,690
Roswell,94763,898
Menifee,94756,787
Plantation,94580,1685
Dover,94563,464
Quincy,94470,2200
Portsmouth,94398,1094
Chino,94371,1229
Lynn,94299,3388
Edmond,94054,428
Hanford,94028,1280
Dearborn,93932,1496
Livonia,93665,1013
South Gate,93444,4985
Vineland,93239,335
Florence,93131,657
Portsmouth,93069,540
Slidell,93040,695
Lawton,93025,441
Kirkland,93010,2016
Missoula,92895,845
Auburn,92777,425
Rapid City,92664,546
Terre Haute,92490,677
Suffolk,92108,89
Blacksburg,91888,865
Mount Pleasant,91684,717
Carson,91394,1883
Conroe,91079,488
Alafaya,91068,1156
Livermore,90923,1288
Westminster,90643,3486
Germantown,90582,2053
Santa Monica,90401,4147
New Braunfels,90209,770
Fall River,89541,1044
Albany,89217,505
Miami Beach,88885,4461
Norwalk,88816,1498
San Leandro,88815,2570
O'Fallon,88673,1149
Newton,88414,1914
Muncie,87879,958
Citrus Heights,87796,2381
State College,87723,3572
Town 'n' Country,87338,1526
Decatur,87236,645
Jackson,87110,1153
Fort Myers,87103,844
Goodyear,86840,175
Dalton,86628,632
Bryan,86276,726
Waukegan,86075,1370
Hawthorne,86068,5463
Anderson,85992,508
Redwood City,85925,1721
Hoover,85768,691
Lake Forest,85531,1985
Napa,85239,1679
Whittier,85098,2242
Clifton,85052,2913
Largo,84948,1773
Bloomington,84943,945
Johns Creek,84579,1059
Newport Beach,84534,1370
Mission,84331,916
Milpitas,84196,2381
Troy,84092,970
Madera,84086,1557
Joplin,84048,515
Chino Hills,83853,724
Alhambra,83750,4237
Franklin,83097,771
Melbourne,83029,727
Port Huron,82970,1369
Springfield,82820,883
Mountain View,82739,2664
Zephyrhills,82476,670
St. Augustine,82180,629
Flagstaff,81974,438
Buena Park,81788,3002
Pleasanton,81777,1307
Silver Spring,81773,4004
Atascocita,81557,1320
Westland,81511,1540
Auburn,81464,1063
Cranston,81456,1109
Somerville,81360,7619
Folsom,81328,1126
Springdale,81125,668
Deerfield Beach,81066,2093
Warwick,81004,893
Cicero,80796,5318
Farmington Hills,80612,935
Newark,80451,930
Williamsburg,80441,645
Brooklyn Park,80389,1190
Hattiesburg,80138,331
Alexandria,80129,625
Lawrence,80028,4458
Florence,79964,594
Valdosta,79820,606
Plymouth,79768,941
Buckeye,79620,78
Georgetown,79604,560
Cheyenne,79484,771
Cedar Park,79462,1207
The Villages,79372,978
Kokomo,79351,610
Tustin,79348,2755
Lakewood,79307,3253
Perris,79291,970
St. Joseph,79161,656
Flower Mound,79135,728
Pharr,79112,1292
Pine Hills,78995,2500
Alton,78905,652
Loveland,78877,885
Boynton Beach,78679,1880
New Rochelle,78557,2930
Anderson,78512,736
Jonesboro,78394,377
Lebanon,78302,2397
Parma,78103,1506
Layton,78014,1339
Elizabethtown,78002,437
Texarkana,77964,482
Alameda,77624,2868
Kankakee,77429,668
Watsonville,77352,3109
Porterville,77318,1236
Baytown,77192,807
Upland,77140,1907
Davis,76997,2710
Camarillo,76931,1371
South Jordan,76598,1331
Battle Creek,76514,463
Bellflower,76435,4822
San Marcos,76218,732
San Ramon,75995,1570
Lake Jackson,75860,532
Bethlehem,75815,1531
Wyoming,75667,1186
Oshkosh,75536,958
Hammond,75522,1282
Waldorf,75489,803
Missouri City,75457,1003
Pasco,75432,858
Wheeling,75392,740
Kendall,75312,1804
Baldwin Park,75251,4381
Rancho Cordova,75087,827
Conway,74951,567
Gary,74879,581
Altoona,74829,1710
Lodi,74773,1913
