"city",state_id,county_name,lat,lng,timezone,zips
"New York",NY,New York,40.6943,-73.9249,America/New_York,11202
"New York",NY,New York,40.6943,-73.9249,America/New_York,11241
"New York",NY,New York,40.6943,-73.9249,America/New_York,11242
"New York",NY,New York,40.6943,-73.9249,America/New_York,11243
"New York",NY,New York,40.6943,-73.9249,America/New_York,11245
"New York",NY,New York,40.6943,-73.9249,America/New_York,11247
"New York",NY,New York,40.6943,-73.9249,America/New_York,11249
"New York",NY,New York,40.6943,-73.9249,America/New_York,11251
"New York",NY,New York,40.6943,-73.9249,America/New_York,11252
"New York",NY,New York,40.6943,-73.9249,America/New_York,11256
"New York",NY,New York,40.6943,-73.9249,America/New_York,11352
"New York",NY,New York,40.6943,-73.9249,America/New_York,11380
"New York",NY,New York,40.6943,-73.9249,America/New_York,11381
"New York",NY,New York,40.6943,-73.9249,America/New_York,11386
"New York",NY,New York,40.6943,-73.9249,America/New_York,11405
"New York",NY,New York,40.6943,-73.9249,America/New_York,11431
"New York",NY,New York,40.6943,-73.9249,America/New_York,11439
"New York",NY,New York,40.6943,-73.9249,America/New_York,11499
"New York",NY,New York,40.6943,-73.9249,America/New_York,11690
"New York",NY,New York,40.6943,-73.9249,America/New_York,11695
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90291
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90293
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90292
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91316
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91311
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90037
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90031
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90008
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90004
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90005
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90006
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90007
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90001
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90002
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90003
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90710
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90089
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91344
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91345
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91340
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91342
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91343
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90035
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90034
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90036
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90033
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90032
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90039
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90247
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90248
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91436
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91371
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91605
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91604
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91607
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91601
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91602
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90402
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90068
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90069
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90062
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90063
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90061
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90066
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90067
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90064
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90065
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91326
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91324
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91325
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90013
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90012
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90011
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90010
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90017
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90016
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90015
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90014
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90019
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90090
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90095
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,90094
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91042
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91040
"Los Angeles",CA,Los Angeles,34.1139,-118.4068,America/Los_Angeles,91411
