"state","county","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL,"Alexander",57.8,93,1.0,56.8
IL,"Bond",54.6,87,0.7,53.9
IL,"Boone",49.0,106,1.7,47.3
IL,"Brown",52.6,80,0.5,52.1
IL,"Bureau",50.1,92,1.2,48.9
IL,"Calhoun",54.4,87,0.6,53.8
IL,"Carroll",49.5,109,2.2,47.3
IL,"Cass",52.6,79,0.3,52.3
IL,"Champaign",51.9,90,1.0,50.9
IL,"Christian",53.0,85,0.5,52.5
IL,"Clark",53.6,90,0.9,52.7
IL,"Clay",55.0,94,1.1,53.9
IL,"Clinton",55.5,93,0.9,54.6
IL,"Coles",53.0,88,0.8,52.2
IL,"Cook",50.9,109,2.0,48.9
IL,"Crawford",54.7,94,1.1,53.6
IL,"Cumberland",53.6,87,0.8,52.8
IL,"DeKalb",49.1,97,1.2,47.9
IL,"De Witt",52.2,99,1.3,50.9
IL,"Douglas",52.7,91,1.1,51.6
IL,"DuPage",50.4,107,2.0,48.4
IL,"Edgar",52.4,85,0.5,51.9
IL,"Edwards",56.2,101,1.2,55
IL,"Effingham",53.8,88,0.7,53.1
IL,"Fayette",54.0,83,0.5,53.5
IL,"Ford",51.3,95,1.2,50.1
IL,"Franklin",56.0,88,0.8,55.2
IL,"Fulton",52.0,89,0.7,51.3
IL,"Gallatin",56.3,67,0.2,56.1
IL,"Greene",53.9,78,0.4,53.5
IL,"Grundy",51.2,107,1.9,49.3
IL,"Hamilton",56.2,95,1.0,55.2
IL,"Hancock",52.2,82,0.5,51.7
IL,"Hardin",56.8,77,0.5,56.3
IL,"Henderson",51.4,91,0.7,50.7
IL,"Henry",50.2,92,1.1,49.1
IL,"Iroquois",51.4,101,1.4,50
IL,"Jackson",56.1,89,0.7,55.4
IL,"Jasper",54.3,92,0.9,53.4
IL,"Jefferson",55.8,96,1.0,54.8
IL,"Jersey",54.8,92,0.7,54.1
IL,"Jo Daviess",48.4,99,1.6,46.8
IL,"Johnson",56.8,90,0.8,56
IL,"Kane",49.4,101,1.5,47.9
