state,city,county,zipcode,latitude,longitude,major_airport,distance
NC,Red Cross,Stanly,28129,35.2659,-80.3622,"Charlotte Douglas International Airport",53.0706
NC,New London,Stanly,28127,35.4348,-80.2198,"Charlotte Douglas International Airport",70.0623
NC,Locust,Stanly,28107,35.2687,-80.4368,"Charlotte Douglas International Airport",46.3807
NC,Aquadale,Stanly,28128,35.2244,-80.2236,"Charlotte Douglas International Airport",65.3701
NC,Richfield,Stanly,28137,35.4703,-80.2575,"Charlotte Douglas International Airport",68.4052
NC,Millingport,Stanly,28127,35.3763,-80.3113,"Charlotte Douglas International Airport",60.1123
NC,Oakboro,Stanly,28129,35.2283,-80.3339,"Charlotte Douglas International Airport",55.3617
NC,Norwood,Stanly,28128,35.2336,-80.1146,"Charlotte Douglas International Airport",75.2887
NC,King,Stokes,27021,36.2766,-80.3564,"Piedmont Triad International Airport",42.5431
NC,Danbury,Stokes,27016,36.4113,-80.2122,"Piedmont Triad International Airport",42.6939
NC,Pinnacle,Stokes,27043,36.323,-80.4241,"Piedmont Triad International Airport",50.3439
NC,Walnut Cove,Stokes,27052,36.2941,-80.1403,"Piedmont Triad International Airport",28.4299
NC,Toast,Surry,27049,36.4966,-80.6346,"Piedmont Triad International Airport",76.6254
NC,White Plains,Surry,27031,36.4451,-80.6351,"Piedmont Triad International Airport",73.5158
NC,Mount Airy,Surry,27030,36.5083,-80.6154,"Piedmont Triad International Airport",75.9993
NC,Lowgap,Surry,27024,36.5232,-80.8671,"Piedmont Triad International Airport",95.8039
NC,Pilot Mountain,Surry,27041,36.3854,-80.4735,"Piedmont Triad International Airport",57.7501
NC,Dobson,Surry,27017,36.3927,-80.7239,"Piedmont Triad International Airport",77.7893
NC,Elkin,Surry,28621,36.2621,-80.8441,"Piedmont Triad International Airport",83.4126
NC,Cherokee,Swain,28719,35.486,-83.3011,"Asheville Regional Airport",68.9916
NC,Bryson City,Swain,28713,35.4262,-83.4474,"McGhee Tyson Airport",65.3603
NC,Rosman,Transylvania,28772,35.1458,-82.8201,"Asheville Regional Airport",40.9962
NC,Brevard,Transylvania,28712,35.2439,-82.7264,"Asheville Regional Airport",27.1585
NC,Columbia,Tyrrell,27925,35.9201,-76.242,"Norfolk International Airport",108.4209
NC,Stallings,Union,28104,35.1088,-80.6597,"Charlotte Douglas International Airport",28.294
NC,Lake Park,Union,28079,35.0848,-80.6348,"Charlotte Douglas International Airport",31.4975
NC,Fairview,Union,28110,35.1545,-80.5345,"Charlotte Douglas International Airport",37.7183
NC,Marvin,Union,28173,34.989,-80.8032,"Charlotte Douglas International Airport",28.07
NC,Indian Trail,Union,28110,35.0698,-80.6457,"Charlotte Douglas International Airport",31.4382
NC,Mineral Springs,Union,28173,34.9411,-80.6846,"Charlotte Douglas International Airport",38.3949
NC,Hemby Bridge,Union,28079,35.1055,-80.6258,"Charlotte Douglas International Airport",31.2664
NC,JAARS,Union,28173,34.8622,-80.7489,"Charlotte Douglas International Airport",42.9285
NC,Marshville,Union,28103,34.9867,-80.3685,"Charlotte Douglas International Airport",58.063
NC,Monroe,Union,28112,35.0061,-80.5595,"Charlotte Douglas International Airport",41.8564
NC,Wingate,Union,28174,34.9852,-80.4497,"Charlotte Douglas International Airport",51.5954
NC,Weddington,Union,28173,35.0228,-80.7383,"Charlotte Douglas International Airport",28.2663
NC,Waxhaw,Union,28173,34.9364,-80.7438,"Charlotte Douglas International Airport",35.8016
NC,Wesley Chapel,Union,28173,34.9985,-80.6905,"Charlotte Douglas International Airport",33.1995
NC,Unionville,Union,28110,35.0716,-80.5173,"Charlotte Douglas International Airport",41.8292
NC,Kittrell,Vance,27544,36.2218,-78.4413,"Raleigh Durham International Airport",49.3307
NC,Middleburg,Vance,27563,36.399,-78.3235,"Raleigh Durham International Airport",71.3964
NC,South Henderson,Vance,27536,36.3035,-78.4054,"Raleigh Durham International Airport",58.4939
NC,Henderson,Vance,27536,36.3259,-78.4155,"Raleigh Durham International Airport",60.0153
NC,Knightdale,Wake,27610,35.7918,-78.4955,"Raleigh Durham International Airport",27.9984
NC,Raleigh,Wake,27698,35.8325,-78.6435,"Raleigh Durham International Airport",13.913
NC,Fuquay-Varina,Wake,27526,35.5958,-78.7794,"Raleigh Durham International Airport",31.3434
NC,Rolesville,Wake,27587,35.9224,-78.4656,"Raleigh Durham International Airport",29.419
NC,Garner,Wake,27699,35.6934,-78.6196,"Raleigh Durham International Airport",25.4733
NC,Holly Springs,Wake,27540,35.653,-78.8397,"Raleigh Durham International Airport",25.4148
NC,Apex,Wake,27539,35.7239,-78.8728,"Raleigh Durham International Airport",18.7424
NC,Cary,Wake,27560,35.782,-78.8191,"Raleigh Durham International Airport",11.0056
NC,Morrisville,Wake,27560,35.8367,-78.8348,"Raleigh Durham International Airport",6.2335
NC,Wendell,Wake,27591,35.7823,-78.3962,"Raleigh Durham International Airport",36.8337
NC,Zebulon,Wake,27597,35.8318,-78.3162,"Raleigh Durham International Airport",42.7795
NC,Wake Forest,Wake,27588,35.9629,-78.5141,"Raleigh Durham International Airport",26.3832
NC,Warrenton,Warren,27589,36.3995,-78.1575,"Raleigh Durham International Airport",81.0452
NC,Macon,Warren,27551,36.4396,-78.0839,"Raleigh Durham International Airport",88.8547
NC,Norlina,Warren,27563,36.4451,-78.1952,"Raleigh Durham International Airport",82.5184
NC,Plymouth,Washington,27962,35.8588,-76.7487,"Norfolk International Airport",125.1711
NC,Roper,Washington,27970,35.8786,-76.617,"Norfolk International Airport",118.947
NC,Creswell,Washington,27928,35.8743,-76.4032,"Norfolk International Airport",114.8841
NC,Cove Creek,Watauga,28698,36.2763,-81.783,"Tri Cities Regional Tn Va Airport",60.1174
NC,Blowing Rock,Watauga,28605,36.1291,-81.6713,"Tri Cities Regional Tn Va Airport",76.3693
NC,Boone,Watauga,28608,36.2111,-81.6668,"Tri Cities Regional Tn Va Airport",72.542
