state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
CT,Fairfield,42.58,32,-5.23,47.81
CT,Hartford,42.5,33,-4.02,46.52
CT,Litchfield,41.91,22,-6.31,48.22
CT,Middlesex,42.91,35,-3.88,46.79
CT,New Haven,43.29,35,-4.24,47.53
CT,New London,39.27,25,-6.42,45.69
CT,Tolland,42.27,39,-3.38,45.65
CT,Windham,41.4,32,-4.34,45.74
DE,Kent,49.64,102,6.59,43.05
DE,New Castle,47.98,93,4.79,43.19
DE,Sussex,50.19,102,6.58,43.61
FL,Alachua,57.23,91,4.64,52.59
FL,Baker,57.86,101,6.34,51.52
FL,Bay,67.34,102,8.89,58.45
FL,Bradford,58.36,97,6.1,52.26
FL,Brevard,55.35,93,4.89,50.46
FL,Broward,77.16,122,20.1,57.06
FL,Calhoun,66.12,100,8.03,58.09
FL,Charlotte,53.3,84,2.44,50.86
FL,Citrus,50.22,44,-3.06,53.28
FL,Clay,57.1,91,5.26,51.84
FL,Collier,55.31,85,3.2,52.11
FL,Columbia,57.46,99,5.91,51.55
FL,DeSoto,52.48,66,1.13,51.35
FL,Dixie,57.1,81,3.37,53.73
FL,Duval,57.71,102,7.49,50.22
FL,Escambia,70.21,94,8.03,62.18
FL,Flagler,51.55,60,-0.3,51.85
FL,Franklin,58.54,74,0.29,58.25
FL,Gadsden,58.01,82,1.42,56.59
FL,Gilchrist,56.22,81,3.43,52.79
FL,Glades,52.33,78,2.05,50.28
FL,Gulf,62.01,85,3.54,58.47
FL,Hamilton,56.77,93,4.9,51.87
FL,Hardee,50.94,49,-1.53,52.47
FL,Hendry,46.52,35,-5.32,51.84
FL,Hernando,49.78,48,-3.69,53.47
FL,Highlands,53.49,81,3.04,50.45
FL,Hillsborough,49.67,45,-2.61,52.28
FL,Holmes,75.66,116,18.03,57.63
FL,Indian River,65.87,117,13.4,52.47
FL,Jackson,68.01,116,13.34,54.67
FL,Jefferson,54.49,65,-0.6,55.09
FL,Lafayette,57.18,78,2.75,54.43
FL,Lake,49.54,56,-1.32,50.86
FL,Lee,54.08,86,4.04,50.04
FL,Leon,55.65,62,-1.62,57.27
FL,Levy,53.71,68,0.77,52.94
FL,Liberty,61.68,86,2.85,58.83
FL,Madison,55.36,77,1.78,53.58
FL,Manatee,50.7,50,-1.83,52.53
FL,Marion,52.57,59,-0.11,52.68
FL,Martin,74.57,123,20.48,54.09
FL,Miami-Dade,66.01,111,10.84,55.17
FL,Monroe,57.87,109,7,50.87
FL,Nassau,57.69,102,7.12,50.57
FL,Okaloosa,70.84,100,10.19,60.65
FL,Okeechobee,61.55,114,10.78,50.77
FL,Orange,51.65,75,1.31,50.34
FL,Osceola,53.23,80,2.89,50.34
FL,Palm Beach,71.82,120,14.93,56.89
FL,Pasco,50.94,51,-2.04,52.98
FL,Pinellas,47.32,40,-4.2,51.52
FL,Polk,53.46,74,1.74,51.72
FL,Putnam,54.31,70,1.17,53.14
FL,St. Johns,54.46,80,3.47,50.99
FL,St. Lucie,72.69,123,19.9,52.79
FL,Santa Rosa,70.69,96,8.71,61.98
FL,Sarasota,50.66,52,-1.41,52.07
FL,Seminole,51.74,75,1.27,50.47
FL,Sumter,48.12,40,-4.18,52.3
FL,Suwannee,57.14,90,3.95,53.19
FL,Taylor,55.62,63,0.06,55.56
FL,Union,58.22,99,6.49,51.73
