,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
CO-101,Pueblo County,8.9,5,-4.66,13.56,
CO-103,Rio Blanco County,13.78,9,-5.08,18.86,
CO-105,Rio Grande County,10.81,13,-3.79,14.6,
CO-107,Routt County,20.58,21,-4.48,25.06,
CO-109,Saguache County,12.22,7,-4.42,16.64,
CO-111,San Juan County,28.46,9,-13.33,41.79,
CO-113,San Miguel County,11.45,2,-7.66,19.11,
CO-115,Sedgwick County,10.57,2,-7.53,18.1,
CO-117,Summit County,21.41,17,-5.12,26.53,
CO-119,Teller County,14.4,11,-4.76,19.16,
CO-121,Washington County,9.98,2,-6.52,16.5,
CO-123,Weld County,10.64,15,-3.21,13.85,
CO-125,Yuma County,11.6,5,-5.95,17.55,
CT-001,Fairfield County,42.58,32,-5.23,47.81,
CT-003,Hartford County,42.5,33,-4.02,46.52,
CT-005,Litchfield County,41.91,22,-6.31,48.22,
CT-007,Middlesex County,42.91,35,-3.88,46.79,
CT-009,New Haven County,43.29,35,-4.24,47.53,
CT-011,New London County,39.27,25,-6.42,45.69,
CT-013,Tolland County,42.27,39,-3.38,45.65,
CT-015,Windham County,41.4,32,-4.34,45.74,
DE-001,Kent County,49.64,102,6.59,43.05,
DE-003,New Castle County,47.98,93,4.79,43.19,
DE-005,Sussex County,50.19,102,6.58,43.61,
FL-001,Alachua County,57.23,91,4.64,52.59,
FL-003,Baker County,57.86,101,6.34,51.52,
FL-005,Bay County,67.34,102,8.89,58.45,
FL-007,Bradford County,58.36,97,6.1,52.26,
FL-009,Brevard County,55.35,93,4.89,50.46,
FL-011,Broward County,77.16,122,20.1,57.06,
FL-013,Calhoun County,66.12,100,8.03,58.09,
FL-015,Charlotte County,53.3,84,2.44,50.86,
FL-017,Citrus County,50.22,44,-3.06,53.28,
FL-019,Clay County,57.1,91,5.26,51.84,
FL-021,Collier County,55.31,85,3.2,52.11,
FL-023,Columbia County,57.46,99,5.91,51.55,
FL-027,DeSoto County,52.48,66,1.13,51.35,
FL-029,Dixie County,57.1,81,3.37,53.73,
FL-031,Duval County,57.71,102,7.49,50.22,
FL-033,Escambia County,70.21,94,8.03,62.18,
FL-035,Flagler County,51.55,60,-0.3,51.85,
FL-037,Franklin County,58.54,74,0.29,58.25,
FL-039,Gadsden County,58.01,82,1.42,56.59,
FL-041,Gilchrist County,56.22,81,3.43,52.79,
FL-043,Glades County,52.33,78,2.05,50.28,
FL-045,Gulf County,62.01,85,3.54,58.47,
FL-047,Hamilton County,56.77,93,4.9,51.87,
FL-049,Hardee County,50.94,49,-1.53,52.47,
FL-051,Hendry County,46.52,35,-5.32,51.84,
FL-053,Hernando County,49.78,48,-3.69,53.47,
FL-055,Highlands County,53.49,81,3.04,50.45,
FL-057,Hillsborough County,49.67,45,-2.61,52.28,
FL-059,Holmes County,75.66,116,18.03,57.63,
FL-061,Indian River County,65.87,117,13.4,52.47,
FL-063,Jackson County,68.01,116,13.34,54.67,
FL-065,Jefferson County,54.49,65,-0.6,55.09,
FL-067,Lafayette County,57.18,78,2.75,54.43,
FL-069,Lake County,49.54,56,-1.32,50.86,
FL-071,Lee County,54.08,86,4.04,50.04,
FL-073,Leon County,55.65,62,-1.62,57.27,
FL-075,Levy County,53.71,68,0.77,52.94,
FL-077,Liberty County,61.68,86,2.85,58.83,
FL-079,Madison County,55.36,77,1.78,53.58,
FL-081,Manatee County,50.7,50,-1.83,52.53,
FL-083,Marion County,52.57,59,-0.11,52.68,
FL-085,Martin County,74.57,123,20.48,54.09,
FL-086,Miami-Dade County,66.01,111,10.84,55.17,
FL-087,Monroe County,57.87,109,7.0,50.87,
FL-089,Nassau County,57.69,102,7.12,50.57,
FL-091,Okaloosa County,70.84,100,10.19,60.65,
FL-093,Okeechobee County,61.55,114,10.78,50.77,
FL-095,Orange County,51.65,75,1.31,50.34,
FL-097,Osceola County,53.23,80,2.89,50.34,
FL-099,Palm Beach County,71.82,120,14.93,56.89,
FL-101,Pasco County,50.94,51,-2.04,52.98,
FL-103,Pinellas County,47.32,40,-4.2,51.52,
FL-105,Polk County,53.46,74,1.74,51.72,
FL-107,Putnam County,54.31,70,1.17,53.14,
FL-109,St. Johns County,54.46,80,3.47,50.99,
FL-111,St. Lucie County,72.69,123,19.9,52.79,
FL-113,Santa Rosa County,70.69,96,8.71,61.98,
FL-115,Sarasota County,50.66,52,-1.41,52.07,
FL-117,Seminole County,51.74,75,1.27,50.47,
FL-119,Sumter County,48.12,40,-4.18,52.3,
FL-121,Suwannee County,57.14,90,3.95,53.19,
FL-123,Taylor County,55.62,63,0.06,55.56,
FL-125,Union County,58.22,99,6.49,51.73,
FL-127,Volusia County,51.85,70,0.97,50.88,
FL-129,Wakulla County,56.92,63,-1.29,58.21,
FL-131,Walton County,72.36,105,12.28,60.08,
FL-133,Washington County,71.66,113,14.37,57.29,
GA-001,Appling County,53.17,98,5.23,47.94,
GA-003,Atkinson County,49.64,76,0.86,48.78,
GA-005,Bacon County,47.85,71,-0.36,48.21,
GA-007,Baker County,55.25,87,3.56,51.69,
GA-009,Baldwin County,64.7,122,18.36,46.34,
GA-011,Banks County,71.4,123,18.61,52.79,
GA-013,Barrow County,71.22,124,20.69,50.53,
GA-015,Bartow County,61.94,112,10.8,51.14,
GA-017,Ben Hill County,55.76,108,8.19,47.57,
GA-019,Berrien County,51.92,93,3.48,48.44,
GA-021,Bibb County,62.99,122,16.63,46.36,
GA-023,Bleckley County,68.93,123,22.02,46.91,
GA-025,Brantley County,57.74,102,7.85,49.89,
GA-027,Brooks County,54.99,87,3.06,51.93,
GA-029,Bryan County,57.32,107,8.42,48.9,
GA-031,Bulloch County,58.68,117,11.19,47.49,
GA-033,Burke County,62.06,120,16.67,45.39,
GA-035,Butts County,63.75,122,14.53,49.22,
GA-037,Calhoun County,61.3,109,9.43,51.87,
GA-039,Camden County,57.25,98,6.35,50.9,
GA-043,Candler County,59.53,116,12.62,46.91,
GA-045,Carroll County,75.13,125,21.78,53.35,
GA-047,Catoosa County,71.07,122,18.18,52.89,
GA-049,Charlton County,56.42,99,6.17,50.25,
GA-051,Chatham County,57.51,107,8.52,48.99,
GA-053,Chattahoochee County,71.29,125,22.67,48.62,
GA-055,Chattooga County,71.43,122,16.7,54.73,
GA-057,Cherokee County,67.36,116,13.91,53.45,
GA-059,Clarke County,67.61,123,17.86,49.75,
GA-061,Clay County,71.42,122,19.26,52.16,
GA-063,Clayton County,74.02,125,24.07,49.95,
GA-065,Clinch County,53.85,93,4.03,49.82,
GA-067,Cobb County,68.06,122,17.0,51.06,
GA-069,Coffee County,50.19,81,1.97,48.22,
GA-071,Colquitt County,54.14,95,3.92,50.22,
GA-073,Columbia County,62.64,122,16.71,45.93,
GA-075,Cook County,52.97,94,3.66,49.31,
GA-077,Coweta County,73.67,125,22.54,51.13,
GA-079,Crawford County,65.51,121,17.47,48.04,
GA-081,Crisp County,65.81,121,18.81,47,
GA-083,Dade County,73.58,123,19.52,54.06,
GA-085,Dawson County,80.85,124,21.63,59.22,
GA-087,Decatur County,55.54,79,1.96,53.58,
GA-089,DeKalb County,73.85,125,23.47,50.38,
GA-091,Dodge County,64.51,122,17.1,47.41,
GA-093,Dooly County,68.53,124,21.38,47.15,
GA-095,Dougherty County,59.68,113,10.29,49.39,
GA-097,Douglas County,72.76,125,20.96,51.8,
GA-099,Early County,63.24,109,10.22,53.02,
GA-101,Echols County,56.49,97,5.57,50.92,
GA-103,Effingham County,58.83,113,10.63,48.2,
GA-105,Elbert County,66.32,122,18.01,48.31,
GA-107,Emanuel County,61.36,118,15.04,46.32,
GA-109,Evans County,59.08,116,11.62,47.46,
GA-111,Fannin County,84.89,125,24.96,59.93,
GA-113,Fayette County,73.18,125,23.22,49.96,
GA-115,Floyd County,66.54,119,14.54,52,
GA-117,Forsyth County,74.89,124,21.44,53.45,
GA-119,Franklin County,64.79,118,14.59,50.2,
GA-121,Fulton County,73.25,125,22.44,50.81,
GA-123,Gilmer County,82.71,123,21.29,61.42,
GA-125,Glascock County,65.7,122,18.96,46.74,
GA-127,Glynn County,57.99,98,7.26,50.73,
