zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
94587,CA,Union City,Alameda,37.603,-122.0187,America/Los_Angeles,0.0073,0.40247,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96613,0.55173
94568,CA,Dublin,Alameda,37.7161,-121.8963,America/Los_Angeles,0.00437,0.38829,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95563,0.57707
94705,CA,Oakland,Alameda,37.7903,-122.2165,America/Los_Angeles,0.1116,0.39964,0.19846,0.55405,0.0,0.56499,0.03361,0.71482,0.50888,0.28732,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.98977,0.51994
94588,CA,Pleasanton,Alameda,37.6663,-121.8805,America/Los_Angeles,0.00948,0.4997,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95234,0.57873
94720,CA,Berkeley,Alameda,37.8723,-122.276,America/Los_Angeles,0.02412,0.39923,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97376,0.50967
94578,CA,Castro Valley,Alameda,37.7091,-122.0631,America/Los_Angeles,0.00349,0.53616,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97951,0.54657
94557,CA,Hayward,Alameda,37.6328,-122.0772,America/Los_Angeles,0.04431,0.37513,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97612,0.54207
94551,CA,Livermore,Alameda,37.6862,-121.7608,America/Los_Angeles,0.01298,0.45311,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9387,0.601
94579,CA,San Leandro,Alameda,37.7071,-122.1601,America/Los_Angeles,0.0188,0.44237,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9932,0.52888
94502,CA,Alameda,Alameda,37.767,-122.2672,America/Los_Angeles,0.00881,0.54324,0.19846,0.55405,0.0,0.56499,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.99169,0.5104
94555,CA,Fremont,Alameda,37.5265,-121.9852,America/Los_Angeles,0.05621,0.43387,0.19846,0.55405,0.0,0.56499,0.10924,0.60057,0.69433,0.71458,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97145,0.55486
95966,CA,Oroville,Butte,39.4999,-121.5634,America/Los_Angeles,0.00085,0.4602,0.52896,0.58108,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.85602,0.70907
95976,CA,Chico,Butte,39.7575,-121.8152,America/Los_Angeles,0.01969,0.30666,0.52896,0.58108,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.80668,0.76718
94526,CA,Danville,Contra Costa,37.8121,-121.9698,America/Los_Angeles,0.00263,0.57768,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96263,0.56515
94565,CA,Pittsburg,Contra Costa,38.0182,-121.8964,America/Los_Angeles,0.01393,0.31942,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.93103,0.57786
94513,CA,Brentwood,Contra Costa,37.9355,-121.7191,America/Los_Angeles,0.0053,0.38424,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.92041,0.61105
94553,CA,Martinez,Contra Costa,37.9985,-122.116,America/Los_Angeles,3e-05,0.52805,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94973,0.53823
94850,CA,Richmond,Contra Costa,37.9477,-122.339,America/Los_Angeles,0.01222,0.37877,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95782,0.49809
94527,CA,Concord,Contra Costa,37.9722,-122.0016,America/Los_Angeles,0.02497,0.44805,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9469,0.55932
94806,CA,San Pablo,Contra Costa,37.9628,-122.3425,America/Los_Angeles,0.00402,0.34373,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95509,0.49736
94583,CA,San Ramon,Contra Costa,37.7625,-121.9365,America/Los_Angeles,0.01007,0.42779,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96075,0.5706
94531,CA,Antioch,Contra Costa,37.9789,-121.7958,America/Los_Angeles,0.01903,0.34981,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9254,0.59668
94598,CA,Walnut Creek,Contra Costa,37.9024,-122.0398,America/Los_Angeles,0.01236,0.65222,0.19498,0.54054,0.0,0.58886,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96036,0.55275
93844,CA,Fresno,Fresno,36.7831,-119.7941,America/Los_Angeles,0.17357,0.3012,0.2094,0.86486,0.66667,0.47215,0.72269,0.13552,0.29429,0.50891,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.67524,0.77854
93747,CA,Clovis,Fresno,36.8278,-119.6831,America/Los_Angeles,0.02266,0.3808,0.2094,0.86486,0.66667,0.47215,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.66246,0.79993
95534,CA,Eureka,Humboldt,40.7942,-124.1568,America/Los_Angeles,0.0,0.46121,0.77297,0.36486,0.0,0.43236,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.47872,0.90851
92244,CA,El Centro,Imperial,32.7867,-115.5586,America/Los_Angeles,0.00054,0.3012,0.0,0.56757,0.0,0.9443,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.75273,0.74742
93390,CA,Bakersfield,Kern,35.3529,-119.0359,America/Los_Angeles,0.16187,0.29026,0.07336,0.74324,0.33333,0.63395,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.72927,0.7149
93215,CA,Delano,Kern,35.767,-119.2637,America/Los_Angeles,0.00199,0.2384,0.07336,0.74324,0.33333,0.63395,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.64693,0.71831
93230,CA,Hanford,Kings,36.3274,-119.6549,America/Los_Angeles,0.00605,0.3012,0.0547,0.86486,0.66667,0.687,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.62172,0.76732
90652,CA,Norwalk,Los Angeles,33.9069,-118.0829,America/Los_Angeles,0.01837,0.3255,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95286,0.90312
90202,CA,Bell Gardens,Los Angeles,33.9663,-118.155,America/Los_Angeles,0.0167,0.2222,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96393,0.92107
91735,CA,El Monte,Los Angeles,34.0739,-118.0291,America/Los_Angeles,0.01367,0.32145,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94043,0.90198
90723,CA,Paramount,Los Angeles,33.8976,-118.1652,America/Los_Angeles,0.00162,0.24448,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9648,0.91626
90707,CA,Bellflower,Los Angeles,33.888,-118.1271,America/Los_Angeles,0.00921,0.31132,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95881,0.90879
90310,CA,Hawthorne,Los Angeles,33.9146,-118.3476,America/Los_Angeles,0.01496,0.31335,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9919,0.94715
91706,CA,Baldwin Park,Los Angeles,34.0829,-117.9721,America/Los_Angeles,0.00889,0.28904,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94623,0.89115
