zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
85388,AZ,Surprise,Maricopa,33.68000,-112.45240,America/Phoenix,139763,42.84,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,49.10950,278.85950
85277,AZ,Mesa,Maricopa,33.40170,-111.71800,America/Phoenix,543661,39.98,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,27.52640,216.16080
85286,AZ,Chandler,Maricopa,33.28260,-111.85160,America/Phoenix,296784,39.08,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,22.50480,213.75060
85299,AZ,Gilbert,Maricopa,33.31010,-111.74630,America/Phoenix,265752,33.65,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,28.27520,209.74130
86409,AZ,Kingman,Mohave,35.21700,-114.01050,America/Phoenix,53457,47.10,10.570,19,1,61.4,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,140.88530,136.57470
86406,AZ,Lake Havasu City,Mohave,34.50060,-114.31130,America/Los_Angeles,59975,53.40,10.570,19,1,61.4,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,191.48880,130.62330
85775,AZ,Tucson,Pima,32.15450,-110.87820,America/Phoenix,923197,40.32,12.500,51,2,66.5,95,26.54,63.21,94.9,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,7.29380,61.21940
85194,AZ,Casa Grande,Pinal,32.90680,-111.76240,America/Phoenix,68344,41.97,12.530,59,2,67.6,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,63.08840,178.30970
85143,AZ,San Tan Valley,Pinal,33.18790,-111.54720,America/Phoenix,91028,29.75,12.530,59,2,67.6,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,51.14890,187.62020
85139,AZ,Maricopa,Pinal,33.04040,-112.00060,America/Phoenix,61294,33.10,12.530,59,2,67.6,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,43.81250,204.83380
85178,AZ,Apache Junction,Pinal,33.39850,-111.53510,America/Phoenix,54438,52.80,12.530,59,2,67.6,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,44.44140,206.15200
86313,AZ,Prescott,Yavapai,34.58500,-112.44750,America/Phoenix,60916,57.47,16.280,46,1,58.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,134.10060,243.95380
85369,AZ,Yuma,Yuma,32.59920,-114.54880,America/Phoenix,148585,44.57,4.880,44,1,70.9,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,247.67970,190.12300
94587,CA,Union City,Alameda,37.60300,-122.01870,America/Los_Angeles,73526,37.30,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,22.13910,220.05440
94568,CA,Dublin,Alameda,37.71610,-121.89630,America/Los_Angeles,64105,36.60,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.56580,207.85620
94705,CA,Oakland,Alameda,37.79030,-122.21650,America/Los_Angeles,409154,37.16,18.810,41,1,57.9,6,84.14,74.55,92.3,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,7.68280,235.35790
94588,CA,Pleasanton,Alameda,37.66630,-121.88050,America/Los_Angeles,80553,42.10,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,30.57750,207.05920
94720,CA,Berkeley,Alameda,37.87230,-122.27600,America/Los_Angeles,127660,37.14,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,17.47220,240.30390
