ID,NAME,ST_ABBREV,TOTPOP_CY,MEDAGE_CY,MALES_CY,FEMALES_CY,MEDMAGE_CY,MEDFAGE_CY
65470,Falcon,MO,859,44,437,422,43.1,44.8
65712,Mount Vernon,MO,8659,43.4,4316,4343,42.7,44
64150,Riverside,MO,3285,38.4,1656,1629,38,39
65761,Theodosia,MO,1169,58.6,601,568,58.9,58.3
63820,Anniston,MO,299,42.9,151,148,42.3,43.5
64631,Bucklin,MO,938,48,476,462,47.2,48.8
63068,New Haven,MO,5083,43.4,2496,2587,42.6,44.3
63837,Clarkton,MO,2060,39.7,1001,1059,38.7,40.6
63879,Wardell,MO,769,43.9,378,391,43.3,44.4
63040,Wildwood,MO,8774,39,4244,4530,38.4,39.5
65023,Centertown,MO,1864,47,938,926,46.4,47.6
64625,Breckenridge,MO,504,44,259,245,42.7,45.2
65351,Sweet Springs,MO,2372,45.1,1193,1179,43.9,46.2
63124,St. Louis,MO,10493,49.2,5006,5487,48,50.3
63005,Chesterfield,MO,18519,44.6,9225,9294,44.8,44.4
64632,Cainsville,MO,631,46.5,314,317,45.6,47.4
63780,Scott City,MO,7065,39.5,3496,3569,38.3,40.7
63701,Cape Girardeau,MO,38907,34.9,18821,20086,34.6,35.4
63020,De Soto,MO,21037,40.7,10439,10598,39.7,41.9
65566,Viburnum,MO,827,42.9,403,424,42.3,43.5
63821,Arbyrd,MO,820,41.4,413,407,42,40.8
65452,Crocker,MO,3421,39.6,1719,1702,38.4,41
65679,Kirbyville,MO,2455,38.6,1222,1233,37.5,39.5
65771,Walnut Shade,MO,1459,37.1,718,741,36.7,37.4
63760,Leopold,MO,314,42.4,157,157,42.3,42.5
63468,Shelbina,MO,2494,45.6,1222,1272,42.7,48
64123,Kansas City,MO,11232,31.8,5835,5397,31.6,32.1
64856,Pineville,MO,4393,40,2198,2195,38.8,41.2
65258,Holliday,MO,463,44.7,232,231,44.1,45.2
63080,Sullivan,MO,14093,39.2,6986,7107,37.8,40.7
63533,Brashear,MO,1052,43.6,531,521,43.9,43.2
65617,Brighton,MO,1632,43.1,843,789,41.9,44.4
64752,Hume,MO,721,40.7,373,348,40.6,40.8
64633,Carrollton,MO,5083,43.2,2452,2631,41.4,44.9
63834,Charleston,MO,7139,39.1,4098,3041,37.8,41.7
63013,Beaufort,MO,1876,45.1,954,922,44.5,45.5
64748,Golden City,MO,1456,44.2,763,693,42.8,45.6
65555,Raymondville,MO,1099,43.4,539,560,43.2,43.5
65725,Pleasant Hope,MO,2793,43,1420,1373,42.1,43.9
64781,Roscoe,MO,112,51.5,57,55,51.5,51.5
63011,Ballwin,MO,35242,46,16944,18298,44.1,47.6
64117,Kansas City,MO,14374,35.8,6983,7391,34.3,37.4
64667,Newtown,MO,336,43.1,178,158,40.6,45
63043,Maryland Heights,MO,22231,39.7,10915,11316,38.1,41.8
65462,Edgar Springs,MO,1732,45.2,874,858,44.3,45.9
63137,St. Louis,MO,20419,36.8,9319,11100,34.1,38.8
64098,Weston,MO,2943,46.1,1470,1473,43.9,48.1
65332,Green Ridge,MO,1556,40.4,788,768,40.3,40.4
63558,New Cambria,MO,771,49.1,387,384,48.1,50.2
64454,Gower,MO,2736,42.4,1357,1379,40.9,44
65560,Salem,MO,14409,43.9,7147,7262,42.5,45.3
63109,St. Louis,MO,26704,39.6,12667,14037,38.7,40.6
64019,Centerview,MO,2474,39.6,1239,1235,40.3,39
65627,Cedarcreek,MO,574,45,288,286,44.1,45.9
65542,Licking,MO,6545,38.3,3995,2550,36.6,42.6
64679,Spickard,MO,742,41.4,381,361,40.7,42
65052,Linn Creek,MO,3740,45.6,1809,1931,45.3,45.8
63956,Patterson,MO,1484,47.7,730,754,47.8,47.7
63104,St. Louis,MO,18422,34,9063,9359,34.4,33.6
63431,Anabel,MO,340,45.2,175,165,45.2,45.2
64424,Bethany,MO,4456,42.4,2195,2261,39.9,45
65720,Oldfield,MO,601,39.2,302,299,38.8,39.6
65653,Forsyth,MO,5486,49.1,2661,2825,47.3,50.8
64668,Norborne,MO,1484,45.2,742,742,45,45.5
64848,La Russell,MO,723,41.9,367,356,42.9,40.8
